rowId,companyId,accountId,campaignId,adSetId,creativeId,currentOperatorDecision,v2PrimaryDecision,v2Actionability,v2Confidence,v2ReasonTags,v2RiskLevel,v2ProblemClass,v2QueueEligible,v2ApplyEligible,spend,purchases,impressions,roas,cpa,recentRoas,recentPurchases,longWindowRoas,activeBenchmarkRoas,activeBenchmarkCpa,peerMedianSpend,activeStatus,campaignStatus,adSetStatus,campaignAdsetBlockerFlags,trustSourceProvenanceFlags,changedFromCurrent
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-26,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-26,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,2.32,0,739,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-27,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-27,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,2.14,0,601,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-28,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-28,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,2.11,0,1090,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-29,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-29,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,2.07,0,1190,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-30,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-30,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,1.74,1,655,46.32,1.74,0,0,26.77,5.44,12.82,39.6,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-31,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-31,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,1.72,0,930,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-32,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-32,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,1.65,0,511,0,0,0,0,8.86,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-33,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-33,Diagnose,Diagnose,diagnose,75,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,1.27,0,644,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-34,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-34,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,1.23,0,675,0,0,0,0,15.36,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-35,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-35,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,1.2,0,557,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-36,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-36,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,1.11,0,437,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-37,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-37,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,1,0,486,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-38,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-38,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.99,0,339,0,0,0,0,9.22,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-39,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-39,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.9,0,355,0,0,0,0,9.87,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-40,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-40,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.87,0,346,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-41,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-41,Diagnose,Diagnose,diagnose,75,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.61,1,215,406.2,0.61,0,0,160.9,5.44,12.82,39.6,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-42,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-42,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.61,0,171,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-43,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-43,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.61,0,275,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-44,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-44,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.56,0,187,0,0,0,0,8.26,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-45,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-45,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.41,0,273,0,0,,,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-46,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-46,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.39,0,121,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-47,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-47,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.35,0,179,0,0,0,0,1.76,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-48,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-48,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.34,0,187,0,0,0,0,3.07,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-49,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-49,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.34,0,135,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-50,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-50,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.32,0,271,0,0,0,0,4.11,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-51,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-51,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.28,0,110,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-52,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-52,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.22,0,98,0,0,0,0,3.54,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-53,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-53,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.21,0,162,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-54,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-54,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.2,0,159,0,0,,,1.31,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-55,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-55,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,0.17,0,82,0,0,,,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-56,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-56,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.13,0,63,0,0,0,0,4.61,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-57,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-57,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,0.13,0,58,0,0,0,0,13.06,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,false
